year,average weight,team
2019,215.1,New York Yankees
2019,214.8,Oakland Athletics
2019,214.0,Detroit Tigers
2019,213.8,Colorado Rockies
2019,213.3,Tampa Bay Rays
2019,211.6,New York Mets
2019,211.4,San Francisco Giants
2019,211.4,Toronto Blue Jays
2019,211.1,Cincinnati Reds
2019,211.1,Chicago White Sox
2019,210.9,Minnesota Twins
2019,210.3,Cleveland Indians
2019,209.5,Los Angeles Angels of Anaheim
2019,209.3,Los Angeles Dodgers
2019,209.2,Washington Nationals
2019,209.2,Pittsburgh Pirates
2019,207.8,Chicago Cubs
2019,207.8,Baltimore Orioles
2019,207.4,Milwaukee Brewers
2019,206.6,Seattle Mariners
2019,206.5,Kansas City Royals
2019,205.7,Boston Red Sox
2019,205.4,Atlanta Braves
2019,204.9,Philadelphia Phillies
2019,204.1,San Diego Padres
2019,203.6,Houston Astros
2019,203.2,Miami Marlins
2019,202.9,Texas Rangers
2019,202.8,Arizona Diamondbacks
2019,202.7,St. Louis Cardinals
2018,215.6,Detroit Tigers
2018,214.7,Colorado Rockies
2018,214.3,Oakland Athletics
2018,214.0,Minnesota Twins
2018,213.9,New York Yankees
2018,213.8,San Francisco Giants
2018,213.2,Kansas City Royals
2018,212.4,Chicago White Sox
2018,211.6,Los Angeles Dodgers
2018,211.6,Los Angeles Angels of Anaheim
2018,211.5,Pittsburgh Pirates
2018,211.4,Washington Nationals
2018,211.3,Atlanta Braves
2018,210.8,Cincinnati Reds
2018,210.6,Tampa Bay Rays
2018,210.5,Milwaukee Brewers
2018,209.6,New York Mets
2018,209.6,Toronto Blue Jays
2018,209.5,Cleveland Indians
2018,209.0,San Diego Padres
2018,208.6,Houston Astros
2018,207.8,Seattle Mariners
2018,207.4,St. Louis Cardinals
2018,206.5,Chicago Cubs
2018,206.4,Baltimore Orioles
2018,206.2,Boston Red Sox
2018,205.4,Philadelphia Phillies
2018,204.7,Miami Marlins
2018,204.5,Texas Rangers
2018,204.0,Arizona Diamondbacks
2017,218.0,San Francisco Giants
2017,215.8,New York Yankees
2017,215.1,Atlanta Braves
2017,214.6,Detroit Tigers
2017,213.9,Cincinnati Reds
2017,213.8,Los Angeles Angels of Anaheim
2017,213.5,Colorado Rockies
2017,212.8,Los Angeles Dodgers
2017,212.5,Chicago White Sox
2017,212.3,Minnesota Twins
2017,212.1,Tampa Bay Rays
2017,211.9,Kansas City Royals
2017,211.7,Washington Nationals
2017,211.6,New York Mets
2017,210.9,Chicago Cubs
2017,210.7,Oakland Athletics
2017,210.5,Miami Marlins
2017,210.5,Houston Astros
2017,209.4,Arizona Diamondbacks
2017,209.0,Pittsburgh Pirates
2017,208.8,Baltimore Orioles
2017,208.8,Boston Red Sox
2017,208.3,Milwaukee Brewers
2017,208.0,Toronto Blue Jays
2017,207.5,Philadelphia Phillies
2017,207.5,St. Louis Cardinals
2017,205.8,Texas Rangers
2017,205.2,San Diego Padres
2017,205.2,Cleveland Indians
2017,203.9,Seattle Mariners
2016,219.0,Washington Nationals
2016,217.6,New York Yankees
2016,217.5,Detroit Tigers
2016,215.1,Arizona Diamondbacks
2016,213.8,Atlanta Braves
2016,213.7,Cincinnati Reds
2016,213.4,Miami Marlins
2016,213.1,Chicago White Sox
2016,213.0,Los Angeles Dodgers
2016,212.9,Houston Astros
2016,212.7,Chicago Cubs
2016,212.3,New York Mets
2016,212.0,San Francisco Giants
2016,211.6,Oakland Athletics
2016,211.5,Pittsburgh Pirates
2016,211.4,San Diego Padres
2016,211.1,Minnesota Twins
2016,211.1,Los Angeles Angels of Anaheim
2016,211.0,Texas Rangers
2016,210.9,Philadelphia Phillies
2016,210.1,Cleveland Indians
2016,209.9,Seattle Mariners
2016,209.8,Milwaukee Brewers
2016,209.5,St. Louis Cardinals
2016,209.4,Tampa Bay Rays
2016,209.4,Toronto Blue Jays
2016,209.0,Colorado Rockies
2016,208.8,Kansas City Royals
2016,207.5,Boston Red Sox
2016,207.3,Baltimore Orioles
2015,219.4,Philadelphia Phillies
2015,218.1,Washington Nationals
2015,217.1,Detroit Tigers
2015,216.7,Arizona Diamondbacks
2015,216.2,Texas Rangers
2015,215.7,Pittsburgh Pirates
2015,215.3,Houston Astros
2015,215.2,St. Louis Cardinals
2015,215.1,Los Angeles Dodgers
2015,214.9,Cincinnati Reds
2015,214.8,New York Yankees
2015,213.0,Minnesota Twins
2015,212.7,Atlanta Braves
2015,212.6,Chicago Cubs
2015,212.5,Miami Marlins
2015,212.4,Seattle Mariners
2015,212.4,Chicago White Sox
2015,212.3,San Diego Padres
2015,211.8,New York Mets
2015,211.5,Kansas City Royals
2015,211.0,Boston Red Sox
2015,210.6,Milwaukee Brewers
2015,209.9,San Francisco Giants
2015,209.4,Cleveland Indians
2015,209.1,Tampa Bay Rays
2015,208.8,Colorado Rockies
2015,208.2,Baltimore Orioles
2015,208.0,Oakland Athletics
2015,207.8,Toronto Blue Jays
2015,207.3,Los Angeles Angels of Anaheim
2014,220.9,Chicago White Sox
2014,218.2,Los Angeles Dodgers
2014,217.8,Miami Marlins
2014,217.6,Cincinnati Reds
2014,217.6,Seattle Mariners
2014,216.2,Detroit Tigers
2014,216.0,Pittsburgh Pirates
2014,215.8,Texas Rangers
2014,215.2,Philadelphia Phillies
2014,214.5,Atlanta Braves
2014,214.4,Washington Nationals
2014,213.8,Houston Astros
2014,213.6,San Francisco Giants
2014,212.8,Oakland Athletics
2014,212.7,Arizona Diamondbacks
2014,212.6,Chicago Cubs
2014,212.3,New York Mets
2014,212.1,Minnesota Twins
2014,212.1,New York Yankees
2014,211.6,San Diego Padres
2014,211.0,Colorado Rockies
2014,210.8,St. Louis Cardinals
2014,210.8,Los Angeles Angels of Anaheim
2014,210.6,Milwaukee Brewers
2014,209.7,Boston Red Sox
2014,209.0,Cleveland Indians
2014,208.3,Tampa Bay Rays
2014,208.3,Toronto Blue Jays
2014,207.4,Kansas City Royals
2014,206.9,Baltimore Orioles
