year,average height,team
2019,72.9,Boston Red Sox
2019,73.4,Houston Astros
2019,73.5,Oakland Athletics
2019,73.5,Los Angeles Angels of Anaheim
2019,73.5,Los Angeles Dodgers
2019,73.6,Arizona Diamondbacks
2019,73.6,San Francisco Giants
2019,73.6,Chicago White Sox
2019,73.7,Cincinnati Reds
2019,73.7,Washington Nationals
2019,73.7,Seattle Mariners
2019,73.7,Chicago Cubs
2019,73.9,Milwaukee Brewers
2019,73.9,Kansas City Royals
2019,73.9,San Diego Padres
2019,73.9,Texas Rangers
2019,73.9,New York Mets
2019,73.9,Philadelphia Phillies
2019,73.9,Miami Marlins
2019,73.9,Cleveland Indians
2019,73.9,Minnesota Twins
2019,74.0,St. Louis Cardinals
2019,74.0,Colorado Rockies
2019,74.0,Toronto Blue Jays
2019,74.0,Tampa Bay Rays
2019,74.1,Detroit Tigers
2019,74.1,Pittsburgh Pirates
2019,74.1,New York Yankees
2019,74.1,Baltimore Orioles
2019,74.4,Atlanta Braves
2018,72.9,Boston Red Sox
2018,73.3,Seattle Mariners
2018,73.3,Tampa Bay Rays
2018,73.4,Arizona Diamondbacks
2018,73.5,Oakland Athletics
2018,73.5,Texas Rangers
2018,73.5,Toronto Blue Jays
2018,73.6,Los Angeles Angels of Anaheim
2018,73.7,Cincinnati Reds
2018,73.7,Houston Astros
2018,73.8,Milwaukee Brewers
2018,73.8,Los Angeles Dodgers
2018,73.8,San Francisco Giants
2018,73.8,Washington Nationals
2018,73.8,Miami Marlins
2018,73.8,Chicago Cubs
2018,73.8,New York Mets
2018,73.8,Chicago White Sox
2018,73.9,Cleveland Indians
2018,73.9,Philadelphia Phillies
2018,73.9,New York Yankees
2018,74.0,San Diego Padres
2018,74.0,Colorado Rockies
2018,74.1,St. Louis Cardinals
2018,74.1,Pittsburgh Pirates
2018,74.1,Kansas City Royals
2018,74.1,Baltimore Orioles
2018,74.2,Atlanta Braves
2018,74.2,Minnesota Twins
2018,74.4,Detroit Tigers
2017,73.1,Seattle Mariners
2017,73.2,Oakland Athletics
2017,73.3,Cleveland Indians
2017,73.3,Toronto Blue Jays
2017,73.3,Miami Marlins
2017,73.4,Boston Red Sox
2017,73.4,Arizona Diamondbacks
2017,73.4,Tampa Bay Rays
2017,73.5,Los Angeles Angels of Anaheim
2017,73.5,Texas Rangers
2017,73.5,Atlanta Braves
2017,73.7,Chicago Cubs
2017,73.7,Pittsburgh Pirates
2017,73.7,Colorado Rockies
2017,73.8,San Diego Padres
2017,73.8,Houston Astros
2017,73.8,Los Angeles Dodgers
2017,73.8,New York Mets
2017,73.9,San Francisco Giants
2017,73.9,Chicago White Sox
2017,74.0,Philadelphia Phillies
2017,74.0,St. Louis Cardinals
2017,74.0,Kansas City Royals
2017,74.0,Milwaukee Brewers
2017,74.1,Washington Nationals
2017,74.1,Cincinnati Reds
2017,74.1,Detroit Tigers
2017,74.2,New York Yankees
2017,74.3,Minnesota Twins
2017,74.3,Baltimore Orioles
2016,73.0,Boston Red Sox
2016,73.2,Cleveland Indians
2016,73.4,Tampa Bay Rays
2016,73.5,Seattle Mariners
2016,73.5,Kansas City Royals
2016,73.5,Milwaukee Brewers
2016,73.5,Oakland Athletics
2016,73.5,Los Angeles Angels of Anaheim
2016,73.6,St. Louis Cardinals
