year,player name,games started,games played,cost per game
2016,James Anthony,11,11,1909091
2016,Clayton Edward,21,21,1571429
2016,Wade Allen,11,11,1484516
2016,Donald Zachary,26,26,1223040
2016,Felix Abraham,25,25,1034286
2016,Matthew Thomas,17,21,992063
2016,Jordan M.,18,19,947368
2016,David Taylor,35,35,857143
2016,Carsten Charles,30,30,833333
2016,Justin Brooks,34,34,823529
2016,Jonathan Tyler,32,32,781250
2016,Philip Joseph,11,12,766667
2016,Masahiro,31,31,709677
2016,Colbert Michael,32,32,703125
2016,Jered David,31,31,651613
2016,Maxwell M.,34,34,651260
2016,Francisco Casillas,21,21,650794
2016,Matthew Scott,19,19,642601
2016,Frederick Alfred,33,33,609848
2016,Adam Parrish,33,33,590909
2016,Sefat Farid Yu,17,17,588235
2016,Scott Edward,26,26,576361
2016,Carlos Enrique,21,21,571429
2016,Wei-Yin,22,22,568182
2016,John Derran,29,29,551724
2016,Johnny,32,32,546875
2016,Jacob Edward,21,31,483871
2016,Anibal Alejandro,26,35,480000
2016,Jorge Alberto,24,27,462963
2016,Ervin Ramon,30,30,450000
2016,Andrew Burton,16,16,446875
2016,Ubaldo,25,29,437004
2016,Stephen James,24,24,433333
2016,Richard Joseph,14,14,428571
2016,Michael Raymond,30,30,400000
2016,Robert Allen,29,30,400000
2016,Marco Rene,29,29,396552
2016,Jonathon Joseph,18,23,391304
2016,Yovani,23,23,379512
2016,Giovany Aramis,32,32,378125
2016,Jaime Omar,30,32,359375
2016,Clay Daniel,21,37,351351
2016,Jacob Joseph,31,31,345161
2016,Jeffrey Alan,32,32,337500
2016,Michael Alan,22,24,333333
2016,Hisashi,33,33,332609
2016,Colby Preston,19,19,315789
2016,James Anthony,32,32,312500
2016,Jason Aaron,30,30,300000
2016,Madison Kyle,34,34,291667
2016,Christopher,32,32,285938
2016,Edinson,34,34,279412
2016,Dallas,26,26,278846
2016,Matthew Edward,17,17,254412
2016,Matthew Cody,21,21,242857
2016,Tomaso Anthony,12,19,236842
2016,Nathan Edward,21,24,233333
2016,Hector Felipe,22,22,227273
2016,Ian Patrick,33,33,227273
2016,Douglas Wildes,32,32,218750
2016,Jeremy Robert,32,32,218750
2016,Shelby Charles,20,20,217500
2016,Bartolo,33,34,213235
2016,Christopher Steven,30,30,207500
2016,Ivan Manuel,15,21,195238
2016,Rubby Carlos,10,13,180769
2016,Carlos Luis,25,25,180000
2016,Jose Guillermo,32,32,168750
2016,Corey Scott,32,32,146875
2016,Michael Francisco,32,32,134375
2016,Alfredo,11,15,133333
2016,Christopher Ryan,13,34,125000
2016,Todd Andrew,30,30,125000
2016,Wily,23,23,121739
2016,Julio Alberto,30,30,115556
2016,David Stefan,10,22,113636
2016,Thomas R.,33,33,106061
2016,Jeffrey Alan,19,30,100833
2016,Daniel Richard,26,42,100595
2016,Kenta,32,32,97656
2016,Jose D.,29,29,96552
2016,Martin,33,33,95455
2016,Christopher Alan,33,33,88384
2016,Ryan Andrew,14,24,83333
2016,Thomas Andrew,17,17,79412
2016,Joshua Aubry,29,30,75000
2016,Patrick Alan,24,36,70139
2016,Dillon Kyle,14,33,60606
2016,Juan Ramon,12,52,57692
2016,Dylan Matthew,14,36,50000
2016,Trevor Andrew,28,35,48500
2016,Williams David,11,11,46477
2016,Robert Alexander,10,14,37857
2016,Yordano,32,32,37500
2016,Tyler Cole,27,27,37037
2016,Lance Graye,14,14,36907
2016,Daniel David,13,14,36750
2016,John Michael,14,14,36250
2016,Dennis Michael,12,18,28361
2016,Joseph Andrew,19,19,27074
2016,Anthony James,20,20,27000
2016,Colin D.,18,19,26853
2016,Tyler John,19,19,26816
2016,Gerrit Alan,21,21,26095
2016,Eduardo Jose,20,20,26050
2016,Aaron Michael,20,20,25875
2016,Jacob Anthony,24,24,25292
2016,Sonny Douglas,22,22,23977
2016,Nathan Alan,15,22,23805
2016,Luis,11,22,23695
2016,Kyle Benjamin,25,25,23500
2016,Steven Jakob,22,22,23443
2016,Thomas Ross,14,22,23068
2016,Vincent John,24,24,21500
2016,Daniel Dariel,25,25,21448
2016,Steven Richard,24,24,21438
2016,Philip Tyler,13,24,21312
2016,Taijuan Emmanuel,25,25,21144
2016,Adam Michael,25,25,20500
2016,Michael Joseph,24,27,19963
2016,Matthew David,27,27,19630
2016,Matthew Robert,26,27,18796
2016,Carlos Antonio,28,28,18500
2016,Kevin John,30,30,17733
2016,Jonathan Charles,29,29,17569
2016,Kyle Christian,30,31,17452
2016,Carlos Ernesto,31,31,17387
2016,Noah Seth,30,31,17270
2016,Aaron Jacob,30,30,17260
2016,Michael Bruce,30,31,16906
2016,Robert Chase,30,31,16781
2016,Kendall Chase,31,31,16532
2016,Brandon Kyle,31,31,16500
2016,James Jacob,32,32,16322
2016,Robert Glenn,32,32,16281
2016,Marcus Earl,32,32,16122
2016,Collin Alexander,33,33,16030
2016,Chad Robert,32,32,16016
